monitoring_id,species_name,tree_planting_date,date_monitoring,total_tree,avg_tree_height,carbon_reduce,total_carbon_reduce,tree_planting_system
SS-3-G112,Bruguiera gymnorrhiza,2023-12-22,2024-04-29,44,0.64,0.00902068541166824,0.396910158113403,Ajir
SS-3-G113,Bruguiera gymnorrhiza,2023-12-22,2024-04-29,41,0.95,0.0245044480473945,1.00468236994318,Ajir
SS-3-G114,Bruguiera gymnorrhiza,2023-12-22,2024-04-29,65,0.93,0.0232202057228073,1.50931337198247,Ajir
SS-3-G115,Bruguiera gymnorrhiza,2023-12-22,2024-04-29,45,0.61,0.00798893128799317,0.359501907959692,Ajir
SS-3-G116,Bruguiera gymnorrhiza,2023-12-22,2024-04-29,42,1.1,0.0355081214562516,1.49134110116257,Ajir
SS-3-G117,Bruguiera gymnorrhiza,2023-12-22,2024-04-29,45,1.15,0.0397346817892616,1.78806068051677,Ajir
SS-3-G118,Bruguiera gymnorrhiza,2023-12-22,2024-04-29,62,0.78,0.0148800211355249,0.922561310402544,Ajir
SS-3-G119,Bruguiera gymnorrhiza,2023-12-22,2024-04-29,39,1.04,0.0308104862009348,1.20160896183646,Ajir
SS-3-G120,Bruguiera gymnorrhiza,2023-12-22,2024-04-29,25,1.17,0.0415063394464339,1.03765848616085,Ajir
SS-3-G121,Bruguiera gymnorrhiza,2023-12-22,2024-04-29,26,1.01,0.0286112794341566,0.743893265288071,Ajir
